Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
Q7L523	Q9Y2Q5	10670	28956	RRAGA	LAMTOR2	20381137:0004:LC|25561175:0007:LC|22980980:0007:LC|20381137:0007:LC
Q7L576	Q92558	23191	8936	CYFIP1	WASF1	21946561:0006:LC|24439376:0114:LC|21107423:0114:LC|19363480:0096:LC
Q7L576	Q9Y2A7	23191	10787	CYFIP1	NCKAP1	15296760:0018:LC|19363480:0071:LC|15294869:0018:LC|22863883:0401:LC|21107423:0096:LC
Q7L590	Q96B14	55388		MCM10	Q96B14	15232106:0096:HT
Q7L5N1	Q86XK2	10980	80204	COPS6	FBXO11	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC
Q7L5N1	Q8NFQ8	10980	163590	COPS6	TOR1AIP2	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC|19295130:0004:LC
Q7L5N1	Q8NHY2	10980	64326	COPS6	RFWD2	21625211:0401:LC|21625211:0006:LC|19295130:0004:LC|21625211:0007:LC|21625211:0004:LC
Q7L5N1	Q8TEB1	10980	80344	COPS6	DCAF11	19615732:0004:LC|21145461:0004:LC|19615732:0007:LC|19295130:0004:LC
Q7L5N1	Q8WV16	10980	26094	COPS6	DCAF4	19615732:0004:LC|21145461:0004:LC
Q7L5N1	Q8WXC6	10980	150678	COPS6	MYEOV2	19615732:0004:LC|21145461:0004:LC
Q7L5N1	Q92466	10980	1643	COPS6	DDB2	12732143:0004:LC|21145461:0004:LC|19615732:0004:LC|19615732:0007:LC|19295130:0004:LC|16260596:0004:LC
