Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
A1L4K1	Q15973	123722	7678	FSD2	ZNF124	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q16670	123722	7741	FSD2	ZSCAN26	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q3B820	123722	84140	FSD2	FAM161A	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q53FD0	123722	79696	FSD2	ZC2HC1C	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q6IAM1	123722		FSD2	TU3A	25416956:0018:HT
A1L4K1	Q6NYC8	123722	170954	FSD2	PPP1R18	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q6P1J9	123722	79577	FSD2	CDC73	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q7Z3B3	123722	284058	FSD2	KANSL1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q7Z3I7	123722	137209	FSD2	ZNF572	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:0231:HT|25416956:1356:HT
A1L4K1	Q86VK4	123722	57862	FSD2	ZNF410	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q86YD7	123722	55138	FSD2	FAM90A1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q8IY31	123722	90410	FSD2	IFT20	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q8N8B7	123722	170082	FSD2	TCEANC	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q8NEF3	123722	153733	FSD2	CCDC112	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q8TAU3	123722	147687	FSD2	ZNF417	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q8TD31	123722	54535	FSD2	CCHCR1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q8WY48	123722		FSD2	PP2150	25416956:0018:HT
A1L4K1	Q92569	123722	8503	FSD2	PIK3R3	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q96BZ8	123722	79165	FSD2	LENG1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q96NC0	123722	153527	FSD2	ZMAT2	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q96SQ5	123722	84914	FSD2	ZNF587	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q9BXY8	123722	84707	FSD2	BEX2	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q9H0A9	123722	84221	FSD2	SPATC1L	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:0231:HT|25416956:1356:HT
A1L4K1	Q9H0E9	123722	10902	FSD2	BRD8	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q9H6F0	123722		FSD2	Q9H6F0	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q9H788	123722	63898	FSD2	SH2D4A	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q9HC52	123722	57332	FSD2	CBX8	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q9P0T4	123722	51545	FSD2	ZNF581	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q9UGP5	123722	27343	FSD2	POLL	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:0231:HT|25416956:1356:HT
A1L4K1	Q9UIE0	123722	7773	FSD2	ZNF230	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q9Y3B7	123722	65003	FSD2	MRPL11	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1XBS5	Q92624	137392	10513	FAM92A1	APPBP2	19060904:0018:HT|19060904:0397:HT|19060904:0398:HT
A1XBS5	Q9Y3M2	137392	25776	FAM92A1	CBY1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2RRD8	P60370	162967	386680	ZNF320	KRTAP10-5	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A2RRD8	P60409	162967	386675	ZNF320	KRTAP10-7	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A2RRG2	P61964		11091	C1ORF104	WDR5	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A2RRH5	P08243	253769	440	WDR27	ASNS	25416956:0018:HT
A2RRL7	P15884	155006	6925	TMEM213	TCF4	25416956:0018:HT
A2RRL7	P31153	155006	4144	TMEM213	MAT2A	25416956:0018:HT
A2RRP1	O95897	51594	93145	NBAS	OLFM2	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
A2RTX5	B2RDX5	123283		TARSL2	B2RDX5	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A2RTX5	P26639	123283	6897	TARSL2	TARS	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2RU14	P12004	219854	5111	TMEM218	PCNA	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2RU14	Q5T700	219854	388633	TMEM218	LDLRAD1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2RU14	Q96BA8	219854	90993	TMEM218	CREB3L1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2RU48	P45984	440087	5601	SMCO3	MAPK9	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2RU48	Q9HCM9	440087	56658	SMCO3	TRIM39	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2RU49	Q15654	123688	7205	HYKK	TRIP6	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2RU49	Q53SE7	123688		HYKK	FLJ13057	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A2RU49	Q96IK5	123688	64395	HYKK	GMCL1	25416956:0018:HT
A2RU56	Q8IUH5	401296	23390	LOC401296	ZDHHC17	24705354:0397:HT
A2RUH7	Q13643	343263	2275	MYBPHL	FHL3	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2RUH7	Q8IUH5	343263	23390	MYBPHL	ZDHHC17	24705354:0397:HT|24705354:0018:HT
A2VCK2	Q13643	149069	2275	DCDC2B	FHL3	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2VCK2	Q5JR59	149069	23281	DCDC2B	MTUS2	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2VCK2	Q6A162	149069	125115	DCDC2B	KRT40	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2VCK2	Q8N9N5	149069	54971	DCDC2B	BANP	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A2VCK2	Q93062	149069	11030	DCDC2B	RBPMS	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A2VCK2	Q9NSS6	149069		DCDC2B	DKFZP761H172	25416956:0018:HT
A2VEC9	P54259	23145	1822	SSPO	ATN1	16713569:0018:HT
A2VEC9	Q96AY4	23145	23331	SSPO	TTC28	12421765:0018:HT
A2VEC9	Q9ULK2	23145	222255	SSPO	ATXN7L1	12421765:0018:HT
A3F769	O75569		8575	NRF	PRKRA	21900206:0018:HT
A3F769	P30519		3163	NRF	HMOX2	21900206:0018:HT
A3KMH1	Q96KG7	23078	84466	VWA8	MEGF10	12421765:0018:HT
A4D0P7	A4D0P7			ORC5L	ORC5L	15232106:0089:HT
A4D0P7	O00311		8317	ORC5L	CDC7	15232106:0089:HT|15657099:0064:LC|15232106:0008:HT
A4D0P7	O43929		5000	ORC5L	ORC4	15232106:0089:HT|15657099:0064:LC|15232106:0008:HT
A4D0P7	O75419		8318	ORC5L	CDC45	15232106:0024:HT|15232106:0089:HT|15657099:0064:LC|15232106:0008:HT
A4D0P7	P25205		4172	ORC5L	MCM3	15232106:0089:HT|15657099:0064:LC|15232106:0008:HT
A4D0P7	P33992		4174	ORC5L	MCM5	15232106:0089:HT|15657099:0064:LC|15232106:0008:HT
A4D0P7	P42771		1029	ORC5L	CDKN2A	15232106:0089:HT
A4D0P7	P49736		4171	ORC5L	MCM2	15232106:0089:HT|15657099:0064:LC|15232106:0008:HT
A4D0P7	P55268		3913	ORC5L	LAMB2	21988832:0018:HT
A4D0P7	Q13137		10241	ORC5L	CALCOCO2	21988832:0018:HT
A4D0P7	Q13415		4998	ORC5L	ORC1	15448696:0006:LC|17716973:0096:LC|15232106:0008:HT|22398447:0007:LC|15657099:0064:LC|15232106:0089:HT
A4D0P7	Q13416		4999	ORC5L	ORC2	15232106:0089:HT|15657099:0064:LC|15232106:0008:HT
A4D0P7	Q15233		4841	ORC5L	NONO	21988832:0397:HT
A4D0P7	Q5VZB9		63951	ORC5L	DMRTA1	21988832:0018:HT
A4D0P7	Q6PKC3		51061	ORC5L	TXNDC11	21988832:0018:HT
A4D0P7	Q86VP1		8887	ORC5L	TAX1BP1	21988832:0018:HT
A4D0P7	Q99459		988	ORC5L	CDC5L	15657099:0064:LC|15232106:0008:HT
A4D0P7	Q99741		990	ORC5L	CDC6	15232106:0089:HT|15657099:0064:LC|15232106:0008:HT
A4D0P7	Q9GZT8		60491	ORC5L	NIF3L1	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A4D0P7	Q9NRR5		56893	ORC5L	UBQLN4	21988832:0018:HT
A4D0P7	Q9NY15		23166	ORC5L	STAB1	21988832:0018:HT
