Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
P22736	P29590	3164	5371	NR4A1	PML	12032831:0493:LC|12032831:0492:LC|15657099:0064:LC|12032831:0004:LC|12032831:0096:LC
P22736	P31749	3164	207	NR4A1	AKT1	11274386:0415:LC|11274386:0493:LC|15657099:0064:LC|11274386:0004:LC|11274386:0492:LC
P22736	Q09472	3164	2033	NR4A1	EP300	12082103:0096:LC|12082103:0492:LC|20438716:0415:LC|21988832:0018:HT|15657099:0064:LC
P22736	Q14802	3164	5349	NR4A1	FXYD3	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
P22736	Q15648	3164	5469	NR4A1	MED1	15657099:0064:LC|12082103:0492:LC
P22736	Q15788	3164	8648	NR4A1	NCOA1	12082103:0096:LC|15657099:0064:LC|12082103:0492:LC
P22736	Q92831	3164	8850	NR4A1	KAT2B	12082103:0096:LC|15657099:0064:LC|12082103:0492:LC
P22736	Q9UK32	3164	27330	NR4A1	RPS6KA6	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
P22736	Q9Y618	3164	9612	NR4A1	NCOR2	11559707:0492:LC|11559707:0493:LC|11559707:0096:LC|16002533:0004:LC|15657099:0064:LC|11559707:0018:LC|11559707:0004:LC
P22736	Q9Y6Q9	3164	8202	NR4A1	NCOA3	12082103:0096:LC|15657099:0064:LC|12082103:0492:LC
P22748	P22748	762	762	CA4	CA4	20363633:0114:LC|8942978:0114:LC
P22748	P48751	762	6508	CA4	SLC4A3	11994299:0493:LC|11994299:0492:LC|15657099:0064:LC
P22748	Q9Y6R1	762	8671	CA4	SLC4A4	15563508:0047:LC|14567693:0492:LC|14567693:0493:LC|15563508:0663:LC
P22830	P22830	2235	2235	FECH	FECH	17567154:0114:LC|:0114:LC|19703464:0114:LC|17261801:0114:LC|24043703:0114:LC|17884090:0114:LC|11175906:0114:LC|10561552:0114:LC|15574461:0492:LC
P22888	P22888	3973	3973	LHCGR	LHCGR	24438591:0663:LC|15889138:0405:LC|24438591:0052:LC|15889138:0492:LC|15889138:0055:LC
P22888	Q5JWF2	3973	2778	LHCGR	GNAS	10493819:0493:LC|15657099:0064:LC
P22891	Q9UK55	8858	51156	PROZ	SERPINA10	19528533:0114:LC|20427285:0114:LC
P22894	P22894	4317	4317	MMP8	MMP8	17096442:0114:LC|19173605:0114:LC|9249047:0114:LC
P22894	Q96GW7	4317	63827	MMP8	BCAN	15657099:0064:LC|10986281:0492:LC|10986281:0415:LC
P22897	P22897	4360	4360	MRC1	MRC1	10779515:0114:LC
P22914	P22914	1427	1427	CRYGS	CRYGS	11706012:0114:LC
